timestep 20000, r: 3, zc: -2.090249129523337, d: 0.0, threshold: 0.0006319754475559883 

timestep 20000, r: 4, zc: -2.090249129523337, d: 0.0, threshold: 0.0006462126379341564 

timestep 20000, r: 5, zc: -2.090249129523337, d: 0.0, threshold: 0.0006563446698388844 

timestep 20000, r: 6, zc: -2.090249129523337, d: 0.0, threshold: 0.000657615116513065 

timestep 20000, r: 7, zc: -2.090249129523337, d: 0.0, threshold: 0.0006620414762959826 

timestep 20000, r: 8, zc: -2.090249129523337, d: 0.0, threshold: 0.0006661898226806096 

timestep 20000, r: 9, zc: -2.090249129523337, d: 0.0, threshold: 0.0006745981172896768 

timestep 20000, r: 10, zc: -2.090249129523337, d: 0.0, threshold: 0.0005678682279167058 

timestep 20000, r: 11, zc: -2.090249129523337, d: 0.0, threshold: 0.00041091981267132904 

timestep 20000, r: 12, zc: -2.090249129523337, d: 0.0, threshold: 0.0002749888146326787 

timestep 20000, r: 13, zc: -2.090249129523337, d: 0.0, threshold: 0.00016191305968488244 

timestep 20000, r: 14, zc: -2.090249129523337, d: 0.0, threshold: 8.380070919502247e-05 

timestep 20000, r: 15, zc: -2.090249129523337, d: 0.0, threshold: 3.9211123927756526e-05 

timestep 20000, r: 16, zc: -2.090249129523337, d: 1.4949978828863673e-06, threshold: 1.902125097701056e-05 

timestep 20000, r: 17, zc: -2.090249129523337, d: 1.479963479672029e-06, threshold: 9.313195222584091e-06 

timestep 20000, r: 18, zc: -2.090249129523337, d: 1.4002279562727193e-06, threshold: 4.543354912756701e-06 

timestep 20000, r: 19, zc: -2.090249129523337, d: 7.591295611478692e-07, threshold: 2.7073549944188478e-06 

