Particle ID, Iteration, h, nc
93729, 0, -inf, 1
93729, 1, -inf, 1
93729, 2, -inf, 1
93729, 3, -inf, 1
93729, 4, -inf, 1
93729, 5, -inf, 1
93729, 6, -inf, 1
93729, 7, -inf, 1
93729, 8, -inf, 1
93729, 9, -inf, 1
93729, 10, -inf, 1
93729, 11, -inf, 1
93729, 12, -inf, 1
93729, 13, -inf, 1
93729, 14, -inf, 1
93729, 15, -inf, 1
93729, 16, -inf, 1
93729, 17, -inf, 1
93729, 18, -inf, 1
93729, 19, -inf, 1
93729, 20, -inf, 1
93729, 21, -inf, 1
93729, 22, -inf, 1
93729, 23, -inf, 1
93729, 24, -inf, 1
93729, 25, -inf, 1
93729, 26, -inf, 1
93729, 27, -inf, 1
93729, 28, -inf, 1
93729, 29, -inf, 1
93729, 30, -inf, 1
93729, 31, -inf, 1
93729, 32, -inf, 1
93729, 33, -inf, 1
93729, 34, -inf, 1
93729, 35, -inf, 1
93729, 36, -inf, 1
93729, 37, -inf, 1
93729, 38, -inf, 1
93729, 39, -inf, 1
93729, 40, -inf, 1
93729, 41, -inf, 1
93729, 42, -inf, 1
93729, 43, -inf, 1
93729, 44, -inf, 1
93729, 45, -inf, 1
93729, 46, -inf, 1
93729, 47, -inf, 1
93729, 48, -inf, 1
93729, 49, -inf, 1
93729, 50, -inf, 1
93729, 51, -inf, 1
93729, 52, -inf, 1
93729, 53, -inf, 1
93729, 54, -inf, 1
93729, 55, -inf, 1
93729, 56, -inf, 1
93729, 57, -inf, 1
93729, 58, -inf, 1
93729, 59, -inf, 1
93729, 60, -inf, 1
93729, 61, -inf, 1
93729, 62, -inf, 1
93729, 63, -inf, 1
93729, 64, -inf, 1
93729, 65, -inf, 1
93729, 66, -inf, 1
93729, 67, -inf, 1
93729, 68, -inf, 1
93729, 69, -inf, 1
93729, 70, -inf, 1
93729, 71, -inf, 1
93729, 72, -inf, 1
93729, 73, -inf, 1
93729, 74, -inf, 1
93729, 75, -inf, 1
93729, 76, -inf, 1
93729, 77, -inf, 1
93729, 78, -inf, 1
93729, 79, -inf, 1
93729, 80, -inf, 1
93729, 81, -inf, 1
93729, 82, -inf, 1
93729, 83, -inf, 1
93729, 84, -inf, 1
93729, 85, -inf, 1
93729, 86, -inf, 1
93729, 87, -inf, 1
93729, 88, -inf, 1
93729, 89, -inf, 1
93729, 90, -inf, 1
93729, 91, -inf, 1
93729, 92, -inf, 1
93729, 93, -inf, 1
93729, 94, -inf, 1
93729, 95, -inf, 1
93729, 96, -inf, 1
93729, 97, -inf, 1
93729, 98, -inf, 1
93729, 99, -inf, 1
93729, 100, -inf, 1
93729, 101, -inf, 1
93729, 102, -inf, 1
93729, 103, -inf, 1
93729, 104, -inf, 1
93729, 105, -inf, 1
93729, 106, -inf, 1
93729, 107, -inf, 1
93729, 108, -inf, 1
93729, 109, -inf, 1
93729, 110, -inf, 1
93729, FINAL, -inf, 1
93730, 0, -inf, 1
93730, 1, -inf, 1
93730, 2, -inf, 1
93730, 3, -inf, 1
93730, 4, -inf, 1
93730, 5, -inf, 1
93730, 6, -inf, 1
93730, 7, -inf, 1
93730, 8, -inf, 1
93730, 9, -inf, 1
93730, 10, -inf, 1
93730, 11, -inf, 1
93730, 12, -inf, 1
93730, 13, -inf, 1
93730, 14, -inf, 1
93730, 15, -inf, 1
93730, 16, -inf, 1
93730, 17, -inf, 1
93730, 18, -inf, 1
93730, 19, -inf, 1
93730, 20, -inf, 1
93730, 21, -inf, 1
93730, 22, -inf, 1
93730, 23, -inf, 1
93730, 24, -inf, 1
93730, 25, -inf, 1
93730, 26, -inf, 1
93730, 27, -inf, 1
93730, 28, -inf, 1
93730, 29, -inf, 1
93730, 30, -inf, 1
93730, 31, -inf, 1
93730, 32, -inf, 1
93730, 33, -inf, 1
93730, 34, -inf, 1
93730, 35, -inf, 1
93730, 36, -inf, 1
93730, 37, -inf, 1
93730, 38, -inf, 1
93730, 39, -inf, 1
93730, 40, -inf, 1
93730, 41, -inf, 1
93730, 42, -inf, 1
93730, 43, -inf, 1
93730, 44, -inf, 1
93730, 45, -inf, 1
93730, 46, -inf, 1
93730, 47, -inf, 1
93730, 48, -inf, 1
93730, 49, -inf, 1
93730, 50, -inf, 1
93730, 51, -inf, 1
93730, 52, -inf, 1
93730, 53, -inf, 1
93730, 54, -inf, 1
93730, 55, -inf, 1
93730, 56, -inf, 1
93730, 57, -inf, 1
93730, 58, -inf, 1
93730, 59, -inf, 1
93730, 60, -inf, 1
93730, 61, -inf, 1
93730, 62, -inf, 1
93730, 63, -inf, 1
93730, 64, -inf, 1
93730, 65, -inf, 1
93730, 66, -inf, 1
93730, 67, -inf, 1
93730, 68, -inf, 1
93730, 69, -inf, 1
93730, 70, -inf, 1
93730, 71, -inf, 1
93730, 72, -inf, 1
93730, 73, -inf, 1
93730, 74, -inf, 1
93730, 75, -inf, 1
93730, 76, -inf, 1
93730, 77, -inf, 1
93730, 78, -inf, 1
93730, 79, -inf, 1
93730, 80, -inf, 1
93730, 81, -inf, 1
93730, 82, -inf, 1
93730, 83, -inf, 1
93730, 84, -inf, 1
93730, 85, -inf, 1
93730, 86, -inf, 1
93730, 87, -inf, 1
93730, 88, -inf, 1
93730, 89, -inf, 1
93730, 90, -inf, 1
93730, 91, -inf, 1
93730, 92, -inf, 1
93730, 93, -inf, 1
93730, 94, -inf, 1
93730, 95, -inf, 1
93730, 96, -inf, 1
93730, 97, -inf, 1
93730, 98, -inf, 1
93730, 99, -inf, 1
93730, 100, -inf, 1
93730, 101, -inf, 1
93730, 102, -inf, 1
93730, 103, -inf, 1
93730, 104, -inf, 1
93730, 105, -inf, 1
93730, 106, -inf, 1
93730, 107, -inf, 1
93730, 108, -inf, 1
93730, 109, -inf, 1
93730, 110, -inf, 1
93730, FINAL, -inf, 1
93731, 0, -inf, 1
93731, 1, -inf, 1
93731, 2, -inf, 1
93731, 3, -inf, 1
93731, 4, -inf, 1
93731, 5, -inf, 1
93731, 6, -inf, 1
93731, 7, -inf, 1
93731, 8, -inf, 1
93731, 9, -inf, 1
93731, 10, -inf, 1
93731, 11, -inf, 1
93731, 12, -inf, 1
93731, 13, -inf, 1
93731, 14, -inf, 1
93731, 15, -inf, 1
93731, 16, -inf, 1
93731, 17, -inf, 1
93731, 18, -inf, 1
93731, 19, -inf, 1
93731, 20, -inf, 1
93731, 21, -inf, 1
93731, 22, -inf, 1
93731, 23, -inf, 1
93731, 24, -inf, 1
93731, 25, -inf, 1
93731, 26, -inf, 1
93731, 27, -inf, 1
93731, 28, -inf, 1
93731, 29, -inf, 1
93731, 30, -inf, 1
93731, 31, -inf, 1
93731, 32, -inf, 1
93731, 33, -inf, 1
93731, 34, -inf, 1
93731, 35, -inf, 1
93731, 36, -inf, 1
