Particle ID, Iteration, h, nc
96855, 20, -inf, 1
96855, 21, -inf, 1
96855, 22, -inf, 1
96855, 23, -inf, 1
96855, 24, -inf, 1
96855, 25, -inf, 1
96855, 26, -inf, 1
96855, 27, -inf, 1
96855, 28, -inf, 1
96855, 29, -inf, 1
96855, 30, -inf, 1
96855, 31, -inf, 1
96855, 32, -inf, 1
96855, 33, -inf, 1
96855, 34, -inf, 1
96855, 35, -inf, 1
96855, 36, -inf, 1
96855, 37, -inf, 1
96855, 38, -inf, 1
96855, 39, -inf, 1
96855, 40, -inf, 1
96855, 41, -inf, 1
96855, 42, -inf, 1
96855, 43, -inf, 1
96855, 44, -inf, 1
96855, 45, -inf, 1
96855, 46, -inf, 1
96855, 47, -inf, 1
96855, 48, -inf, 1
96855, 49, -inf, 1
96855, 50, -inf, 1
96855, 51, -inf, 1
96855, 52, -inf, 1
96855, 53, -inf, 1
96855, 54, -inf, 1
96855, 55, -inf, 1
96855, 56, -inf, 1
96855, 57, -inf, 1
96855, 58, -inf, 1
96855, 59, -inf, 1
96855, 60, -inf, 1
96855, 61, -inf, 1
96855, 62, -inf, 1
96855, 63, -inf, 1
96855, 64, -inf, 1
96855, 65, -inf, 1
96855, 66, -inf, 1
96855, 67, -inf, 1
96855, 68, -inf, 1
96855, 69, -inf, 1
96855, 70, -inf, 1
96855, 71, -inf, 1
96855, 72, -inf, 1
96855, 73, -inf, 1
96855, 74, -inf, 1
96855, 75, -inf, 1
96855, 76, -inf, 1
96855, 77, -inf, 1
96855, 78, -inf, 1
96855, 79, -inf, 1
96855, 80, -inf, 1
96855, 81, -inf, 1
96855, 82, -inf, 1
96855, 83, -inf, 1
96855, 84, -inf, 1
96855, 85, -inf, 1
96855, 86, -inf, 1
96855, 87, -inf, 1
96855, 88, -inf, 1
96855, 89, -inf, 1
96855, 90, -inf, 1
96855, 91, -inf, 1
96855, 92, -inf, 1
96855, 93, -inf, 1
96855, 94, -inf, 1
96855, 95, -inf, 1
96855, 96, -inf, 1
96855, 97, -inf, 1
96855, 98, -inf, 1
96855, 99, -inf, 1
96855, 100, -inf, 1
96855, 101, -inf, 1
96855, 102, -inf, 1
96855, 103, -inf, 1
96855, 104, -inf, 1
96855, 105, -inf, 1
96855, 106, -inf, 1
96855, 107, -inf, 1
96855, 108, -inf, 1
96855, 109, -inf, 1
96855, 110, -inf, 1
96855, FINAL, -inf, 1
96856, 0, -inf, 1
96856, 1, -inf, 1
96856, 2, -inf, 1
96856, 3, -inf, 1
96856, 4, -inf, 1
96856, 5, -inf, 1
96856, 6, -inf, 1
96856, 7, -inf, 1
96856, 8, -inf, 1
96856, 9, -inf, 1
96856, 10, -inf, 1
96856, 11, -inf, 1
96856, 12, -inf, 1
96856, 13, -inf, 1
96856, 14, -inf, 1
96856, 15, -inf, 1
96856, 16, -inf, 1
96856, 17, -inf, 1
96856, 18, -inf, 1
96856, 19, -inf, 1
96856, 20, -inf, 1
96856, 21, -inf, 1
96856, 22, -inf, 1
96856, 23, -inf, 1
96856, 24, -inf, 1
96856, 25, -inf, 1
96856, 26, -inf, 1
96856, 27, -inf, 1
96856, 28, -inf, 1
96856, 29, -inf, 1
96856, 30, -inf, 1
96856, 31, -inf, 1
96856, 32, -inf, 1
96856, 33, -inf, 1
96856, 34, -inf, 1
96856, 35, -inf, 1
96856, 36, -inf, 1
96856, 37, -inf, 1
96856, 38, -inf, 1
96856, 39, -inf, 1
96856, 40, -inf, 1
96856, 41, -inf, 1
96856, 42, -inf, 1
96856, 43, -inf, 1
96856, 44, -inf, 1
96856, 45, -inf, 1
96856, 46, -inf, 1
96856, 47, -inf, 1
96856, 48, -inf, 1
96856, 49, -inf, 1
96856, 50, -inf, 1
96856, 51, -inf, 1
96856, 52, -inf, 1
96856, 53, -inf, 1
96856, 54, -inf, 1
96856, 55, -inf, 1
96856, 56, -inf, 1
96856, 57, -inf, 1
96856, 58, -inf, 1
96856, 59, -inf, 1
96856, 60, -inf, 1
96856, 61, -inf, 1
96856, 62, -inf, 1
96856, 63, -inf, 1
96856, 64, -inf, 1
96856, 65, -inf, 1
96856, 66, -inf, 1
96856, 67, -inf, 1
96856, 68, -inf, 1
96856, 69, -inf, 1
96856, 70, -inf, 1
96856, 71, -inf, 1
96856, 72, -inf, 1
96856, 73, -inf, 1
96856, 74, -inf, 1
96856, 75, -inf, 1
96856, 76, -inf, 1
96856, 77, -inf, 1
96856, 78, -inf, 1
96856, 79, -inf, 1
96856, 80, -inf, 1
96856, 81, -inf, 1
96856, 82, -inf, 1
96856, 83, -inf, 1
96856, 84, -inf, 1
96856, 85, -inf, 1
96856, 86, -inf, 1
96856, 87, -inf, 1
96856, 88, -inf, 1
96856, 89, -inf, 1
96856, 90, -inf, 1
96856, 91, -inf, 1
96856, 92, -inf, 1
96856, 93, -inf, 1
96856, 94, -inf, 1
96856, 95, -inf, 1
96856, 96, -inf, 1
96856, 97, -inf, 1
96856, 98, -inf, 1
96856, 99, -inf, 1
96856, 100, -inf, 1
96856, 101, -inf, 1
96856, 102, -inf, 1
96856, 103, -inf, 1
96856, 104, -inf, 1
96856, 105, -inf, 1
96856, 106, -inf, 1
96856, 107, -inf, 1
96856, 108, -inf, 1
96856, 109, -inf, 1
96856, 110, -inf, 1
96856, FINAL, -inf, 1
96857, 0, -inf, 1
96857, 1, -inf, 1
96857, 2, -inf, 1
96857, 3, -inf, 1
96857, 4, -inf, 1
96857, 5, -inf, 1
96857, 6, -inf, 1
96857, 7, -inf, 1
96857, 8, -inf, 1
96857, 9, -inf, 1
96857, 10, -inf, 1
96857, 11, -inf, 1
96857, 12, -inf, 1
96857, 13, -inf, 1
96857, 14, -inf, 1
96857, 15, -inf, 1
96857, 16, -inf, 1
96857, 17, -inf, 1
96857, 18, -inf, 1
96857, 19, -inf, 1
96857, 20, -inf, 1
96857, 21, -inf, 1
96857, 22, -inf, 1
96857, 23, -inf, 1
96857, 24, -inf, 1
96857, 25, -inf, 1
96857, 26, -inf, 1
96857, 27, -inf, 1
96857, 28, -inf, 1
96857, 29, -inf, 1
96857, 30, -inf, 1
96857, 31, -inf, 1
96857, 32, -inf, 1
96857, 33, -inf, 1
96857, 34, -inf, 1
96857, 35, -inf, 1
96857, 36, -inf, 1
96857, 37, -inf, 1
96857, 38, -inf, 1
96857, 39, -inf, 1
96857, 40, -inf, 1
96857, 41, -inf, 1
96857, 42, -inf, 1
96857, 43, -inf, 1
96857, 44, -inf, 1
96857, 45, -inf, 1
96857, 46, -inf, 1
96857, 47, -inf, 1
96857, 48, -inf, 1
96857, 49, -inf, 1
96857, 50, -inf, 1
96857, 51, -inf, 1
96857, 52, -inf, 1
96857, 53, -inf, 1
96857, 54, -inf, 1
96857, 55, -inf, 1
96857, 56, -inf, 1
96857, 57, -inf, 1
96857, 58, -inf, 1
96857, 59, -inf, 1
96857, 60, -inf, 1
96857, 61, -inf, 1
96857, 62, -inf, 1
96857, 63, -inf, 1
96857, 64, -inf, 1
96857, 65, -inf, 1
96857, 66, -inf, 1
96857, 67, -inf, 1
96857, 68, -inf, 1
96857, 69, -inf, 1
96857, 70, -inf, 1
96857, 71, -inf, 1
96857, 72, -inf, 1
96857, 73, -inf, 1
96857, 74, -inf, 1
96857, 75, -inf, 1
96857, 76, -inf, 1
96857, 77, -inf, 1
96857, 78, -inf, 1
96857, 79, -inf, 1
96857, 80, -inf, 1
96857, 81, -inf, 1
96857, 82, -inf, 1
96857, 83, -inf, 1
96857, 84, -inf, 1
96857, 85, -inf, 1
96857, 86, -inf, 1
96857, 87, -inf, 1
96857, 88, -inf, 1
96857, 89, -inf, 1
96857, 90, -inf, 1
96857, 91, -inf, 1
