Particle ID, Iteration, h, nc
87481, 0, -inf, 1
87481, 1, -inf, 1
87481, 2, -inf, 1
87481, 3, -inf, 1
87481, 4, -inf, 1
87481, 5, -inf, 1
87481, 6, -inf, 1
87481, 7, -inf, 1
87481, 8, -inf, 1
87481, 9, -inf, 1
87481, 10, -inf, 1
87481, 11, -inf, 1
87481, 12, -inf, 1
87481, 13, -inf, 1
87481, 14, -inf, 1
87481, 15, -inf, 1
87481, 16, -inf, 1
87481, 17, -inf, 1
87481, 18, -inf, 1
87481, 19, -inf, 1
87481, 20, -inf, 1
87481, 21, -inf, 1
87481, 22, -inf, 1
87481, 23, -inf, 1
87481, 24, -inf, 1
87481, 25, -inf, 1
87481, 26, -inf, 1
87481, 27, -inf, 1
87481, 28, -inf, 1
87481, 29, -inf, 1
87481, 30, -inf, 1
87481, 31, -inf, 1
87481, 32, -inf, 1
87481, 33, -inf, 1
87481, 34, -inf, 1
87481, 35, -inf, 1
87481, 36, -inf, 1
87481, 37, -inf, 1
87481, 38, -inf, 1
87481, 39, -inf, 1
87481, 40, -inf, 1
87481, 41, -inf, 1
87481, 42, -inf, 1
87481, 43, -inf, 1
87481, 44, -inf, 1
87481, 45, -inf, 1
87481, 46, -inf, 1
87481, 47, -inf, 1
87481, 48, -inf, 1
87481, 49, -inf, 1
87481, 50, -inf, 1
87481, 51, -inf, 1
87481, 52, -inf, 1
87481, 53, -inf, 1
87481, 54, -inf, 1
87481, 55, -inf, 1
87481, 56, -inf, 1
87481, 57, -inf, 1
87481, 58, -inf, 1
87481, 59, -inf, 1
87481, 60, -inf, 1
87481, 61, -inf, 1
87481, 62, -inf, 1
87481, 63, -inf, 1
87481, 64, -inf, 1
87481, 65, -inf, 1
87481, 66, -inf, 1
87481, 67, -inf, 1
87481, 68, -inf, 1
87481, 69, -inf, 1
87481, 70, -inf, 1
87481, 71, -inf, 1
87481, 72, -inf, 1
87481, 73, -inf, 1
87481, 74, -inf, 1
87481, 75, -inf, 1
87481, 76, -inf, 1
87481, 77, -inf, 1
87481, 78, -inf, 1
87481, 79, -inf, 1
87481, 80, -inf, 1
87481, 81, -inf, 1
87481, 82, -inf, 1
87481, 83, -inf, 1
87481, 84, -inf, 1
87481, 85, -inf, 1
87481, 86, -inf, 1
87481, 87, -inf, 1
87481, 88, -inf, 1
87481, 89, -inf, 1
87481, 90, -inf, 1
87481, 91, -inf, 1
87481, 92, -inf, 1
87481, 93, -inf, 1
87481, 94, -inf, 1
87481, 95, -inf, 1
87481, 96, -inf, 1
87481, 97, -inf, 1
87481, 98, -inf, 1
87481, 99, -inf, 1
87481, 100, -inf, 1
87481, 101, -inf, 1
87481, 102, -inf, 1
87481, 103, -inf, 1
87481, 104, -inf, 1
87481, 105, -inf, 1
87481, 106, -inf, 1
87481, 107, -inf, 1
87481, 108, -inf, 1
87481, 109, -inf, 1
87481, 110, -inf, 1
87481, FINAL, -inf, 1
87482, 0, -inf, 1
87482, 1, -inf, 1
87482, 2, -inf, 1
87482, 3, -inf, 1
87482, 4, -inf, 1
87482, 5, -inf, 1
87482, 6, -inf, 1
87482, 7, -inf, 1
87482, 8, -inf, 1
87482, 9, -inf, 1
87482, 10, -inf, 1
87482, 11, -inf, 1
87482, 12, -inf, 1
87482, 13, -inf, 1
87482, 14, -inf, 1
87482, 15, -inf, 1
87482, 16, -inf, 1
87482, 17, -inf, 1
87482, 18, -inf, 1
87482, 19, -inf, 1
87482, 20, -inf, 1
87482, 21, -inf, 1
87482, 22, -inf, 1
87482, 23, -inf, 1
87482, 24, -inf, 1
87482, 25, -inf, 1
87482, 26, -inf, 1
87482, 27, -inf, 1
87482, 28, -inf, 1
87482, 29, -inf, 1
87482, 30, -inf, 1
87482, 31, -inf, 1
87482, 32, -inf, 1
87482, 33, -inf, 1
87482, 34, -inf, 1
87482, 35, -inf, 1
87482, 36, -inf, 1
87482, 37, -inf, 1
87482, 38, -inf, 1
87482, 39, -inf, 1
87482, 40, -inf, 1
87482, 41, -inf, 1
87482, 42, -inf, 1
87482, 43, -inf, 1
87482, 44, -inf, 1
87482, 45, -inf, 1
87482, 46, -inf, 1
87482, 47, -inf, 1
87482, 48, -inf, 1
87482, 49, -inf, 1
87482, 50, -inf, 1
87482, 51, -inf, 1
87482, 52, -inf, 1
87482, 53, -inf, 1
87482, 54, -inf, 1
87482, 55, -inf, 1
87482, 56, -inf, 1
87482, 57, -inf, 1
87482, 58, -inf, 1
87482, 59, -inf, 1
87482, 60, -inf, 1
87482, 61, -inf, 1
87482, 62, -inf, 1
87482, 63, -inf, 1
87482, 64, -inf, 1
87482, 65, -inf, 1
87482, 66, -inf, 1
87482, 67, -inf, 1
87482, 68, -inf, 1
87482, 69, -inf, 1
87482, 70, -inf, 1
87482, 71, -inf, 1
87482, 72, -inf, 1
87482, 73, -inf, 1
87482, 74, -inf, 1
87482, 75, -inf, 1
87482, 76, -inf, 1
87482, 77, -inf, 1
87482, 78, -inf, 1
87482, 79, -inf, 1
87482, 80, -inf, 1
87482, 81, -inf, 1
87482, 82, -inf, 1
87482, 83, -inf, 1
87482, 84, -inf, 1
87482, 85, -inf, 1
87482, 86, -inf, 1
87482, 87, -inf, 1
87482, 88, -inf, 1
87482, 89, -inf, 1
87482, 90, -inf, 1
87482, 91, -inf, 1
87482, 92, -inf, 1
87482, 93, -inf, 1
87482, 94, -inf, 1
87482, 95, -inf, 1
87482, 96, -inf, 1
87482, 97, -inf, 1
87482, 98, -inf, 1
87482, 99, -inf, 1
87482, 100, -inf, 1
87482, 101, -inf, 1
87482, 102, -inf, 1
87482, 103, -inf, 1
87482, 104, -inf, 1
87482, 105, -inf, 1
87482, 106, -inf, 1
87482, 107, -inf, 1
87482, 108, -inf, 1
87482, 109, -inf, 1
87482, 110, -inf, 1
87482, FINAL, -inf, 1
87483, 0, -inf, 1
87483, 1, -inf, 1
87483, 2, -inf, 1
87483, 3, -inf, 1
87483, 4, -inf, 1
87483, 5, -inf, 1
87483, 6, -inf, 1
87483, 7, -inf, 1
87483, 8, -inf, 1
87483, 9, -inf, 1
87483, 10, -inf, 1
87483, 11, -inf, 1
87483, 12, -inf, 1
87483, 13, -inf, 1
87483, 14, -inf, 1
87483, 15, -inf, 1
87483, 16, -inf, 1
87483, 17, -inf, 1
87483, 18, -inf, 1
87483, 19, -inf, 1
87483, 20, -inf, 1
87483, 21, -inf, 1
87483, 22, -inf, 1
87483, 23, -inf, 1
87483, 24, -inf, 1
87483, 25, -inf, 1
87483, 26, -inf, 1
87483, 27, -inf, 1
87483, 28, -inf, 1
87483, 29, -inf, 1
87483, 30, -inf, 1
87483, 31, -inf, 1
87483, 32, -inf, 1
87483, 33, -inf, 1
87483, 34, -inf, 1
87483, 35, -inf, 1
87483, 36, -inf, 1
87483, 37, -inf, 1
87483, 38, -inf, 1
87483, 39, -inf, 1
87483, 40, -inf, 1
87483, 41, -inf, 1
87483, 42, -inf, 1
87483, 43, -inf, 1
87483, 44, -inf, 1
87483, 45, -inf, 1
87483, 46, -inf, 1
87483, 47, -inf, 1
87483, 48, -inf, 1
87483, 49, -inf, 1
87483, 50, -inf, 1
87483, 51, -inf, 1
87483, 52, -inf, 1
87483, 53, -inf, 1
87483, 54, -inf, 1
87483, 55, -inf, 1
87483, 56, -inf, 1
87483, 57, -inf, 1
87483, 58, -inf, 1
87483, 59, -inf, 1
87483, 60, -inf, 1
87483, 61, -inf, 1
87483, 62, -inf, 1
87483, 63, -inf, 1
87483, 64, -inf, 1
87483, 65, -inf, 1
87483, 66, -inf, 1
87483, 67, -inf, 1
87483, 68, -inf, 1
87483, 69, -inf, 1
87483, 70, -inf, 1
87483, 71, -inf, 1
87483, 72, -inf, 1
87483, 73, -inf, 1
87483, 74, -inf, 1
87483, 75, -inf, 1
87483, 76, -inf, 1
87483, 77, -inf, 1
87483, 78, -inf, 1
87483, 79, -inf, 1
87483, 80, -inf, 1
87483, 81, -inf, 1
87483, 82, -inf, 1
87483, 83, -inf, 1
87483, 84, -inf, 1
87483, 85, -inf, 1
87483, 86, -inf, 1
87483, 87, -inf, 1
87483, 88, -inf, 1
87483, 89, -inf, 1
87483, 90, -inf, 1
87483, 91, -inf, 1
87483, 92, -inf, 1
87483, 93, -inf, 1
87483, 94, -inf, 1
87483, 95, -inf, 1
87483, 96, -inf, 1
87483, 97, -inf, 1
87483, 98, -inf, 1
87483, 99, -inf, 1
87483, 100, -inf, 1
87483, 101, -inf, 1
87483, 102, -inf, 1
87483, 103, -inf, 1
87483, 104, -inf, 1
87483, 105, -inf, 1
87483, 106, -inf, 1
87483, 107, -inf, 1
87483, 108, -inf, 1
87483, 109, -inf, 1
87483, 110, -inf, 1
87483, FINAL, -inf, 1
87484, 0, -inf, 1
87484, 1, -inf, 1
87484, 2, -inf, 1
87484, 3, -inf, 1
87484, 4, -inf, 1
87484, 5, -inf, 1
87484, 6, -inf, 1
87484, 7, -inf, 1
87484, 8, -inf, 1
87484, 9, -inf, 1
87484, 10, -inf, 1
87484, 11, -inf, 1
87484, 12, -inf, 1
87484, 13, -inf, 1
87484, 14, -inf, 1
87484, 15, -inf, 1
87484, 16, -inf, 1
87484, 17, -inf, 1
87484, 18, -inf, 1
87484, 19, -inf, 1
87484, 20, -inf, 1
87484, 21, -inf, 1
87484, 22, -inf, 1
87484, 23, -inf, 1
87484, 24, -inf, 1
87484, 25, -inf, 1
87484, 26, -inf, 1
87484, 27, -inf, 1
87484, 28, -inf, 1
87484, 29, -inf, 1
87484, 30, -inf, 1
87484, 31, -inf, 1
87484, 32, -inf, 1
87484, 33, -inf, 1
87484, 34, -inf, 1
87484, 35, -inf, 1
87484, 36, -inf, 1
87484, 37, -inf, 1
87484, 38, -inf, 1
87484, 39, -inf, 1
87484, 40, -inf, 1
87484, 41, -inf, 1
87484, 42, -inf, 1
87484, 43, -inf, 1
87484, 44, -inf, 1
87484, 45, -inf, 1
87484, 46, -inf, 1
87484, 47, -inf, 1
87484, 48, -inf, 1
87484, 49, -inf, 1
87484, 50, -inf, 1
87484, 51, -inf, 1
87484, 52, -inf, 1
87484, 53, -inf, 1
87484, 54, -inf, 1
87484, 55, -inf, 1
87484, 56, -inf, 1
87484, 57, -inf, 1
87484, 58, -inf, 1
87484, 59, -inf, 1
87484, 60, -inf, 1
87484, 61, -inf, 1
87484, 62, -inf, 1
87484, 63, -inf, 1
87484, 64, -inf, 1
87484, 65, -inf, 1
87484, 66, -inf, 1
87484, 67, -inf, 1
87484, 68, -inf, 1
87484, 69, -inf, 1
87484, 70, -inf, 1
87484, 71, -inf, 1
87484, 72, -inf, 1
87484, 73, -inf, 1
87484, 74, -inf, 1
87484, 75, -inf, 1
87484, 76, -inf, 1
87484, 77, -inf, 1
87484, 78, -inf, 1
87484, 79, -inf, 1
87484, 80, -inf, 1
87484, 81, -inf, 1
87484, 82, -inf, 1
87484, 83, -inf, 1
87484, 84, -inf, 1
87484, 85, -inf, 1
87484, 86, -inf, 1
87484, 87, -inf, 1
87484, 88, -inf, 1
87484, 89, -inf, 1
87484, 90, -inf, 1
87484, 91, -inf, 1
87484, 92, -inf, 1
87484, 93, -inf, 1
87484, 94, -inf, 1
87484, 95, -inf, 1
87484, 96, -inf, 1
87484, 97, -inf, 1
87484, 98, -inf, 1
87484, 99, -inf, 1
87484, 100, -inf, 1
87484, 101, -inf, 1
87484, 102, -inf, 1
87484, 103, -inf, 1
87484, 104, -inf, 1
87484, 105, -inf, 1
87484, 106, -inf, 1
87484, 107, -inf, 1
87484, 108, -inf, 1
87484, 109, -inf, 1
87484, 110, -inf, 1
87484, FINAL, -inf, 1
87485, 0, -inf, 1
87485, 1, -inf, 1
87485, 2, -inf, 1
87485, 3, -inf, 1
87485, 4, -inf, 1
87485, 5, -inf, 1
87485, 6, -inf, 1
87485, 7, -inf, 1
87485, 8, -inf, 1
87485, 9, -inf, 1
87485, 10, -inf, 1
87485, 11, -inf, 1
87485, 12, -inf, 1
87485, 13, -inf, 1
87485, 14, -inf, 1
87485, 15, -inf, 1
87485, 16, -inf, 1
87485, 17, -inf, 1
87485, 18, -inf, 1
87485, 19, -inf, 1
87485, 20, -inf, 1
87485, 21, -inf, 1
87485, 22, -inf, 1
87485, 23, -inf, 1
87485, 24, -inf, 1
87485, 25, -inf, 1
87485, 26, -inf, 1
87485, 27, -inf, 1
87485, 28, -inf, 1
87485, 29, -inf, 1
87485, 30, -inf, 1
87485, 31, -inf, 1
87485, 32, -inf, 1
87485, 33, -inf, 1
87485, 34, -inf, 1
87485, 35, -inf, 1
87485, 36, -inf, 1
87485, 37, -inf, 1
87485, 38, -inf, 1
87485, 39, -inf, 1
87485, 40, -inf, 1
87485, 41, -inf, 1
87485, 42, -inf, 1
87485, 43, -inf, 1
87485, 44, -inf, 1
87485, 45, -inf, 1
87485, 46, -inf, 1
87485, 47, -inf, 1
87485, 48, -inf, 1
87485, 49, -inf, 1
87485, 50, -inf, 1
87485, 51, -inf, 1
